;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
58653.391655	0.01389	15.935	15.921	15.949	19.22873	V	m15_data/M15-1_20190619_092359_d167_Nickel_V_c.fit
58653.392604	0.04167	15.939	15.924	15.954	19.87838	V	m15_data/M15-1_20190619_092521_d168_Nickel_V_c.fit
58653.393877	0.125	15.94	15.926	15.954	20.43501	V	m15_data/M15-1_20190619_092711_d169_Nickel_V_c.fit
58653.397002	0.01389	15.953	15.93	15.976	19.22221	V	m15_data/M15-1_20190619_093141_d170_Nickel_V_c.fit
58653.397685	0.04167	15.951	15.934	15.968	19.90934	V	m15_data/M15-1_20190619_093240_d171_Nickel_V_c.fit
58658.382072	0.01389	16.094	16.07	16.118	19.03892	V	m15_data/M15-1_20190624_091011_d128_Nickel_V_c.fit
58658.382986	0.04167	16.007	15.986	16.028	19.12287	V	m15_data/M15-1_20190624_091130_d129_Nickel_V_c.fit
58658.384572	0.125	16.065	16.047	16.083	20.14019	V	m15_data/M15-1_20190624_091347_d130_Nickel_V_c.fit
58661.372257	0.01389	15.942	15.918	15.966	17.55	V	m15_data/M15-1_20190627_085603_d141_Nickel_V_c.fit
58661.373958	0.04167	15.951	15.938	15.964	18.25029	V	m15_data/M15-1_20190627_085830_d142_Nickel_V_c.fit
58661.375359	0.125	15.948	15.938	15.958	18.87133	V	m15_data/M15-1_20190627_090031_d143_Nickel_V_c.fit
58661.378692	0.01389	15.932	15.908	15.956	17.60007	V	m15_data/M15-1_20190627_090519_d144_Nickel_V_c.fit
58664.394178	0.01389	15.962	15.933	15.991	19.00214	V	m15_data/M15-1_20190630_092737_d186_Nickel_V_c.fit
58664.394792	0.04167	15.943	15.921	15.965	19.81244	V	m15_data/M15-1_20190630_092830_d187_Nickel_V_c.fit
58664.39588	0.125	15.93	15.911	15.949	19.74003	V	m15_data/M15-1_20190630_093004_d188_Nickel_V_c.fit
58672.284537	0.01389	15.596	15.578	15.614	18.36141	V	m15_data/M15-1_20190708_064944_d159_Nickel_V_c.fit
58672.285752	0.04167	15.585	15.574	15.596	18.87272	V	m15_data/M15-1_20190708_065129_d160_Nickel_V_c.fit
58672.286991	0.125	15.603	15.593	15.613	19.4508	V	m15_data/M15-1_20190708_065316_d161_Nickel_V_c.fit
58672.460729	0.01389	15.933	15.906	15.96	18.55954	V	m15_data/M15-1_20190708_110327_d205_Nickel_V_c.fit
58672.461447	0.04167	15.912	15.896	15.928	19.15207	V	m15_data/M15-1_20190708_110429_d206_Nickel_V_c.fit
58672.463067	0.125	15.92	15.905	15.935	19.89221	V	m15_data/M15-1_20190708_110649_d207_Nickel_V_c.fit
58676.366632	0.01389	15.453	15.439	15.467	19.44556	V	m15_data/M15-1_20190712_084757_d159_Nickel_V_c.fit
58676.367847	0.04167	15.462	15.451	15.473	20.48205	V	m15_data/M15-1_20190712_084942_d160_Nickel_V_c.fit
58676.369421	0.125	15.457	15.448	15.466	20.63392	V	m15_data/M15-1_20190712_085158_d161_Nickel_V_c.fit
58683.310914	0.01389	16.146	16.118	16.174	18.81086	V	m15_data/M15-1_20190719_072743_d141_Nickel_V_c.fit
58683.311678	0.04167	16.144	16.126	16.162	19.49343	V	m15_data/M15-1_20190719_072849_d142_Nickel_V_c.fit
58683.312801	0.125	16.138	16.123	16.153	20.08945	V	m15_data/M15-1_20190719_073026_d143_Nickel_V_c.fit
58683.449016	0.01389	15.245	15.231	15.259	18.49456	V	m15_data/M15-1_20190719_104635_d173_Nickel_V_c.fit
58683.459653	0.04167	15.29	15.281	15.299	19.25877	V	m15_data/M15-1_20190719_110154_d175_Nickel_V_c.fit
58690.309838	0.01389	16.123	16.099	16.147	19.36918	V	m15_data/M15-1_20190726_072610_d164_Nickel_V_c.fit
58690.310799	0.04167	16.122	16.099	16.145	20.13734	V	m15_data/M15-1_20190726_072733_d165_Nickel_V_c.fit
58690.312037	0.125	16.081	16.058	16.104	20.45776	V	m15_data/M15-1_20190726_072920_d166_Nickel_V_c.fit
58694.348021	0.01389	15.88	15.854	15.906	18.86742	V	m15_data/M15-1_20190730_082109_d136_Nickel_V_c.fit
58694.348704	0.04167	15.914	15.894	15.934	19.71217	V	m15_data/M15-1_20190730_082208_d137_Nickel_V_c.fit
58694.349919	0.125	15.86	15.845	15.875	20.28604	V	m15_data/M15-1_20190730_082353_d138_Nickel_V_c.fit
58697.327257	0.01389	15.896	15.871	15.921	18.37948	V	m15_data/M15-1_20190802_075115_d157_Nickel_V_c.fit
58697.328356	0.04167	15.849	15.831	15.867	19.30632	V	m15_data/M15-1_20190802_075250_d158_Nickel_V_c.fit
58697.330845	0.125	15.867	15.852	15.882	19.908	V	m15_data/M15-1_20190802_075625_d159_Nickel_V_c.fit
58708.284421	0.01389	16.304	16.275	16.333	18.67537	B	m15_data/M15-1_20190813_064934_d157_Nickel_B_c.fit
58708.285891	0.01389	15.871	15.845	15.897	18.68999	V	m15_data/M15-1_20190813_065141_d158_Nickel_V_c.fit
58708.286586	0.04167	15.773	15.758	15.788	19.18952	V	m15_data/M15-1_20190813_065241_d159_Nickel_V_c.fit
58708.288727	0.125	15.758	15.745	15.771	19.76714	V	m15_data/M15-1_20190813_065546_d160_Nickel_V_c.fit
58721.298738	0.01389	16.002	15.975	16.029	19.31394	V	m15_data/M15-1_20190826_071011_d147_Nickel_V_c.fit
58721.29963	0.04167	16.015	15.994	16.036	20.06747	V	m15_data/M15-1_20190826_071128_d148_Nickel_V_c.fit
58721.301181	0.125	15.994	15.974	16.014	20.6455	V	m15_data/M15-1_20190826_071342_d149_Nickel_V_c.fit
58724.239155	0.01389	16.015	15.99	16.04	19.06647	V	m15_data/M15-1_20190829_054423_d154_Nickel_V_c.fit
58724.239896	0.04167	16.04	16.02	16.06	19.95714	V	m15_data/M15-1_20190829_054527_d155_Nickel_V_c.fit
58724.240972	0.125	16.036	16.018	16.054	20.41628	V	m15_data/M15-1_20190829_054700_d156_Nickel_V_c.fit
58728.180023	0.01389	16.044	16.023	16.065	19.27043	V	m15_data/M15-1_20190902_041914_d153_Nickel_V_c.fit
58728.180671	0.04167	16.057	16.04	16.074	20.08369	V	m15_data/M15-1_20190902_042010_d154_Nickel_V_c.fit
58728.181748	0.08333	15.975	15.957	15.993	20.24223	V	m15_data/M15-1_20190902_042143_d155_Nickel_V_c.fit
58731.157928	0.01389	16.08	16.057	16.103	19.24329	V	m15_data/M15-1_20190905_034725_d127_Nickel_V_c.fit
