;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
58653.391655	0.01389	15.617	15.601	15.633	19.22833	V	m15_data/M15-1_20190619_092359_d167_Nickel_V_c.fit
58653.392604	0.04167	15.615	15.601	15.629	19.87678	V	m15_data/M15-1_20190619_092521_d168_Nickel_V_c.fit
58653.393877	0.125	15.614	15.6	15.628	20.43501	V	m15_data/M15-1_20190619_092711_d169_Nickel_V_c.fit
58653.397002	0.01389	15.633	15.616	15.65	19.22091	V	m15_data/M15-1_20190619_093141_d170_Nickel_V_c.fit
58653.397685	0.04167	15.626	15.611	15.641	19.90694	V	m15_data/M15-1_20190619_093240_d171_Nickel_V_c.fit
58658.382072	0.01389	16.173	16.155	16.191	19.04506	V	m15_data/M15-1_20190624_091011_d128_Nickel_V_c.fit
58658.382986	0.04167	16.161	16.149	16.173	19.12287	V	m15_data/M15-1_20190624_091130_d129_Nickel_V_c.fit
58658.384572	0.125	16.192	16.184	16.2	20.15396	V	m15_data/M15-1_20190624_091347_d130_Nickel_V_c.fit
58661.372257	0.01389	15.782	15.764	15.8	17.5482	V	m15_data/M15-1_20190627_085603_d141_Nickel_V_c.fit
58661.373958	0.04167	15.81	15.798	15.822	18.25029	V	m15_data/M15-1_20190627_085830_d142_Nickel_V_c.fit
58661.375359	0.125	15.819	15.81	15.828	18.87133	V	m15_data/M15-1_20190627_090031_d143_Nickel_V_c.fit
58661.378692	0.01389	15.808	15.788	15.828	17.59827	V	m15_data/M15-1_20190627_090519_d144_Nickel_V_c.fit
58664.394178	0.01389	15.603	15.587	15.619	19.00144	V	m15_data/M15-1_20190630_092737_d186_Nickel_V_c.fit
58664.394792	0.04167	15.63	15.614	15.646	19.81534	V	m15_data/M15-1_20190630_092830_d187_Nickel_V_c.fit
58664.39588	0.125	15.664	15.649	15.679	19.7882	V	m15_data/M15-1_20190630_093004_d188_Nickel_V_c.fit
58672.284537	0.01389	15.603	15.589	15.617	18.36191	V	m15_data/M15-1_20190708_064944_d159_Nickel_V_c.fit
58672.285752	0.04167	15.613	15.602	15.624	18.87402	V	m15_data/M15-1_20190708_065129_d160_Nickel_V_c.fit
58672.286991	0.125	15.638	15.63	15.646	19.4532	V	m15_data/M15-1_20190708_065316_d161_Nickel_V_c.fit
58672.460729	0.01389	16.176	16.157	16.195	18.55954	V	m15_data/M15-1_20190708_110327_d205_Nickel_V_c.fit
58672.461447	0.04167	16.211	16.198	16.224	19.15207	V	m15_data/M15-1_20190708_110429_d206_Nickel_V_c.fit
58672.463067	0.125	16.199	16.189	16.209	19.89221	V	m15_data/M15-1_20190708_110649_d207_Nickel_V_c.fit
58676.366632	0.01389	15.62	15.607	15.633	19.4549	V	m15_data/M15-1_20190712_084757_d159_Nickel_V_c.fit
58676.367847	0.04167	15.599	15.586	15.612	20.48125	V	m15_data/M15-1_20190712_084942_d160_Nickel_V_c.fit
58676.369421	0.125	15.613	15.605	15.621	20.65234	V	m15_data/M15-1_20190712_085158_d161_Nickel_V_c.fit
